epoch,loss,val_loss
0,6.59293169623045,6.133941312979537
1,6.065193260808796,5.863827700135643
2,5.8104577359337,5.786491140287522
3,5.690377394516794,5.6348874157872695
4,5.475778063539182,5.4898139635721845
5,5.4199883002499964,5.405682371717468
6,5.093384609555329,5.3350314787256785
